,Year,Hrs Per Week,Interest in student learning,Instructor provides feedback to students to improve,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate,Course
29,2019,5.0,4.0,4.57,4.14,4.71,3.71,3.71,48-374
30,2019,4.7,4.5,4.45,4.45,4.85,4.55,4.25,48-380
31,2019,14.11,4.15,3.74,3.81,3.7,3.74,3.59,48-381
32,2019,27.0,5.0,4.0,5.0,5.0,5.0,5.0,48-410
33,2019,22.17,3.5,3.33,3.0,3.17,3.5,3.33,48-410
34,2019,20.5,4.5,4.25,4.75,5.0,4.25,4.5,48-410
35,2019,24.4,5.0,5.0,5.0,5.0,5.0,5.0,48-410
36,2019,25.0,4.33,4.0,4.0,4.33,4.0,4.0,48-410
37,2019,5.0,4.9,4.4,4.8,4.7,4.7,4.7,48-440
38,2019,8.0,4.75,4.0,4.25,5.0,4.0,4.0,48-442
39,2019,6.5,4.0,4.0,3.5,4.5,3.5,4.0,48-462
40,2019,6.5,3.5,4.0,3.5,3.5,3.5,3.5,48-462
41,2019,6.5,3.5,3.5,3.5,3.5,3.5,3.5,48-462
42,2019,9.2,4.8,4.2,5.0,5.0,4.8,4.8,48-465
43,2019,12.0,4.78,4.5,4.67,4.67,4.56,4.78,48-473
44,2019,6.8,4.0,3.0,3.0,3.8,3.4,2.8,48-497
45,2019,6.8,4.0,4.0,3.4,4.2,3.6,3.0,48-497
46,2019,27.0,5.0,5.0,4.0,4.5,5.0,5.0,48-510
47,2019,21.0,3.0,2.0,5.0,2.0,3.0,3.0,48-510
48,2019,20.0,4.4,4.0,4.2,4.0,4.0,4.2,48-510
49,2019,27.0,4.0,4.0,3.0,5.0,4.0,4.0,48-510
50,2019,25.0,4.67,4.67,4.67,4.67,4.33,4.0,48-519
51,2019,10.67,3.89,4.11,3.33,4.0,3.44,3.33,48-528
52,2019,11.75,4.25,3.25,3.75,4.5,3.25,4.0,48-530
53,2019,11.75,4.25,4.25,4.0,4.75,4.25,4.25,48-530
54,2019,8.0,5.0,5.0,5.0,5.0,5.0,5.0,48-538
55,2019,13.6,4.2,4.0,4.4,4.4,4.2,4.4,48-545
56,2019,8.75,3.75,3.75,3.0,4.25,4.0,3.5,48-555
57,2019,9.5,3.25,3.5,2.75,3.25,3.25,3.0,48-555
58,2019,5.6,4.0,3.2,3.6,4.0,3.2,3.2,48-559
59,2019,4.4,3.6,3.4,3.4,4.2,3.4,3.2,48-559
60,2019,8.86,4.79,4.36,4.64,4.93,4.71,4.71,48-569
61,2019,5.75,4.5,4.38,4.25,4.88,4.5,4.63,48-587
62,2019,6.71,4.86,4.71,4.86,4.86,4.86,4.86,48-637
63,2019,27.0,5.0,4.0,4.0,4.0,4.0,4.0,48-640
64,2019,21.67,4.5,4.33,4.33,4.67,4.5,4.33,48-640
65,2019,21.67,4.0,3.83,4.17,4.33,4.0,4.0,48-640
66,2019,26.0,3.5,2.33,3.5,2.67,3.67,3.5,48-640
67,2019,3.8,4.8,4.6,4.2,5.0,4.8,4.6,48-644
68,2019,12.14,4.71,4.29,4.36,4.43,4.07,4.0,48-649
69,2019,5.27,4.91,5.0,4.91,5.0,5.0,5.0,48-658
70,2019,21.0,5.0,4.5,5.0,5.0,4.5,5.0,48-660
71,2019,20.5,5.0,4.5,4.5,5.0,5.0,4.5,48-660
72,2019,27.0,5.0,4.0,4.0,5.0,5.0,5.0,48-660
73,2019,5.0,5.0,5.0,5.0,5.0,5.0,5.0,48-696
74,2019,17.57,3.86,3.57,3.43,3.57,3.14,3.14,48-706
75,2019,23.33,5.0,4.83,5.0,5.0,5.0,5.0,48-708
76,2019,17.25,5.0,4.33,5.0,4.75,4.5,5.0,48-711
77,2019,3.71,4.86,4.57,4.71,5.0,4.71,4.57,48-712
78,2019,11.13,4.75,4.25,4.25,4.63,4.25,4.25,48-713
79,2019,8.0,4.0,2.67,3.0,4.33,3.67,3.33,48-715
80,2019,9.88,4.88,4.38,4.5,4.88,4.63,4.63,48-720
81,2019,12.8,4.5,4.4,4.6,4.6,4.7,4.5,48-721
82,2019,8.31,3.92,3.75,3.82,4.45,3.73,3.5,48-723
83,2019,12.75,3.25,3.25,3.25,3.25,3.25,3.25,48-731
84,2019,14.67,4.67,4.33,4.5,4.83,4.5,4.5,48-731
85,2019,15.0,4.85,4.85,4.92,4.92,4.92,4.92,48-733
86,2019,6.71,4.57,3.86,4.17,4.17,4.17,4.14,48-741
87,2019,6.5,5.0,4.5,4.5,5.0,5.0,5.0,48-749
88,2019,11.21,4.5,4.36,4.29,4.43,4.0,3.93,48-752
89,2019,11.0,4.75,4.5,4.25,4.75,4.25,4.5,48-758
90,2019,6.5,5.0,5.0,4.5,5.0,4.5,4.5,48-762
91,2019,6.5,4.5,4.0,4.5,4.5,4.5,4.5,48-762
92,2019,6.5,5.0,5.0,4.5,5.0,4.5,4.5,48-762
93,2019,10.5,4.67,4.5,4.33,5.0,4.33,4.67,48-773
94,2019,15.0,5.0,5.0,5.0,5.0,5.0,5.0,48-776
95,2019,15.0,4.5,4.5,4.5,4.5,4.5,4.5,48-776
96,2019,7.0,5.0,5.0,5.0,5.0,5.0,5.0,48-778
97,2019,11.76,4.59,4.65,4.82,4.82,4.71,4.71,48-781
98,2019,17.0,5.0,5.0,5.0,5.0,5.0,5.0,48-785
99,2019,17.0,5.0,5.0,5.0,5.0,5.0,5.0,48-792
100,2019,21.67,5.0,5.0,5.0,5.0,5.0,5.0,48-792
101,2019,17.5,5.0,5.0,5.0,5.0,5.0,5.0,48-792
102,2019,24.0,5.0,5.0,5.0,5.0,5.0,5.0,48-793
103,2019,27.0,5.0,5.0,5.0,5.0,5.0,5.0,48-797
104,2019,27.0,5.0,5.0,5.0,5.0,5.0,5.0,48-797
105,2019,27.0,5.0,5.0,5.0,5.0,5.0,5.0,48-797
106,2019,27.0,5.0,5.0,5.0,5.0,5.0,5.0,48-797
107,2019,27.0,5.0,5.0,5.0,5.0,5.0,5.0,48-797
108,2019,27.0,5.0,5.0,5.0,5.0,5.0,5.0,48-797
109,2019,5.0,4.67,4.44,4.33,4.89,4.56,4.22,60-106
110,2019,6.0,4.67,4.33,4.67,4.67,4.33,4.33,60-106
111,2019,13.5,5.0,5.0,4.75,4.5,4.75,5.0,60-110
112,2019,9.09,2.64,2.36,2.91,2.82,2.36,2.73,60-110
113,2019,6.71,3.71,3.29,4.29,3.71,4.0,3.71,60-110
114,2019,11.29,4.5,4.54,4.43,4.64,4.43,4.43,60-125
115,2019,11.75,4.75,4.0,4.5,4.75,4.5,4.75,60-125
116,2019,10.67,4.67,4.67,4.83,5.0,5.0,5.0,60-131
117,2019,11.0,5.0,4.67,4.67,4.67,5.0,4.67,60-131
118,2019,9.5,4.75,4.75,5.0,4.75,4.25,4.5,60-131
119,2019,10.0,4.33,4.33,4.33,4.33,4.33,4.67,60-131
120,2019,11.0,4.8,4.4,4.2,4.8,4.6,4.6,60-131
121,2019,11.0,4.8,4.6,4.8,4.8,4.8,4.2,60-131
122,2019,9.2,4.4,4.2,4.6,4.6,4.2,4.6,60-131
123,2019,11.0,5.0,4.5,4.0,5.0,4.5,4.5,60-131
124,2019,10.0,5.0,4.67,4.67,5.0,4.67,4.67,60-141
125,2019,8.0,4.5,4.0,4.0,4.5,4.0,4.5,60-141
126,2019,8.0,4.0,3.5,3.5,4.0,4.0,3.5,60-142
127,2019,9.0,4.0,4.33,3.67,4.33,3.67,4.0,60-142
128,2019,8.6,4.7,4.1,4.6,4.7,4.6,4.6,60-157
129,2019,11.0,4.43,4.0,3.71,4.71,3.57,4.0,60-160
130,2019,11.0,4.8,4.8,4.0,5.0,4.6,4.8,60-160
131,2019,8.75,4.5,3.75,3.75,4.5,4.0,4.0,60-160
132,2019,6.6,4.73,4.13,4.47,4.53,4.47,4.2,60-206
133,2019,6.33,4.56,4.0,4.78,4.67,4.67,4.44,60-206
134,2019,10.25,4.83,4.83,4.75,4.67,4.75,4.75,60-223
135,2019,6.5,5.0,5.0,5.0,5.0,5.0,5.0,60-235
136,2019,8.0,4.6,4.6,5.0,4.8,4.4,4.6,60-251
137,2019,8.0,4.5,4.0,4.13,4.63,4.13,4.0,60-280
138,2019,11.2,4.2,4.0,4.0,4.8,3.8,3.8,60-280
139,2019,7.63,4.63,4.25,4.5,4.63,4.63,4.25,60-280
140,2019,4.4,5.0,4.4,4.8,4.8,5.0,5.0,60-350
141,2019,7.67,5.0,4.89,4.78,5.0,4.89,4.89,60-361
142,2019,6.5,4.5,4.0,5.0,4.0,4.5,4.5,60-388
143,2019,12.6,4.9,5.0,4.8,5.0,4.8,4.5,60-402
144,2019,12.63,4.25,3.88,4.13,4.25,4.13,4.5,60-402
145,2019,13.11,5.0,4.89,4.78,5.0,4.89,4.78,60-402
146,2019,8.0,3.67,4.0,4.33,3.33,3.0,3.0,60-403
147,2019,10.5,4.67,4.0,4.0,4.83,4.33,4.0,60-413
148,2019,10.7,4.9,4.6,4.3,5.0,4.7,4.8,60-415
149,2019,11.0,4.33,4.0,3.33,4.33,4.0,4.0,60-417
150,2019,14.75,4.25,4.5,4.67,4.33,4.33,4.75,60-418
151,2019,14.17,3.67,4.0,3.83,4.33,3.67,3.67,60-422
152,2019,14.17,3.17,3.67,3.67,4.0,3.5,3.67,60-422
153,2019,10.4,4.7,4.0,4.2,4.6,4.6,4.6,60-423
154,2019,8.0,5.0,4.0,4.5,5.0,4.5,4.5,60-430
155,2019,11.0,4.2,4.4,4.2,4.2,4.4,4.4,60-435
156,2019,9.0,5.0,5.0,5.0,5.0,5.0,5.0,60-441
157,2019,8.6,5.0,4.8,4.8,5.0,4.6,4.2,60-444
158,2019,9.0,4.5,4.5,4.17,4.33,4.33,3.67,60-450
159,2019,14.33,4.33,4.67,4.33,5.0,4.33,4.67,60-453
160,2019,11.75,5.0,4.88,5.0,5.0,5.0,5.0,60-453
161,2019,10.0,3.83,3.83,4.17,3.67,3.83,4.17,60-471
162,2019,9.5,5.0,5.0,5.0,5.0,5.0,5.0,60-475
163,2019,12.63,4.75,4.88,4.75,4.63,4.63,4.75,60-476
164,2019,9.0,4.67,4.33,4.67,5.0,4.67,4.33,60-479
165,2019,12.5,4.5,3.5,4.0,4.5,4.0,3.0,60-480
166,2019,5.0,5.0,5.0,4.0,5.0,5.0,4.0,60-499
167,2019,8.0,5.0,5.0,5.0,5.0,5.0,5.0,60-499
168,2019,11.0,5.0,5.0,5.0,5.0,5.0,5.0,60-499
169,2019,8.6,4.0,4.0,3.8,3.6,3.8,3.4,60-702
170,2019,14.0,4.0,4.0,5.0,3.0,4.0,4.0,60-711
171,2019,11.75,5.0,5.0,5.0,5.0,5.0,5.0,60-723
172,2019,6.2,4.2,4.0,3.6,4.2,4.0,4.0,60-791
173,2019,7.25,4.33,4.0,4.0,4.67,3.92,3.92,70-100
174,2019,6.29,4.38,4.1,4.0,4.67,3.95,3.95,70-100
175,2019,3.38,4.0,3.15,3.69,4.62,3.46,2.85,70-105
176,2019,2.86,3.43,2.43,2.57,4.43,2.43,2.14,70-105
177,2019,3.9,4.1,2.95,3.19,4.52,3.05,2.05,70-105
178,2019,2.43,4.67,4.24,4.0,4.71,3.81,3.19,70-105
179,2019,7.5,3.44,3.5,3.44,3.69,3.5,3.44,70-110
180,2019,9.44,3.67,3.17,3.33,3.83,3.28,3.22,70-110
181,2019,7.22,3.83,3.48,3.83,4.0,3.57,3.57,70-110
182,2019,12.22,4.57,4.47,4.42,4.69,4.36,4.03,70-122
183,2019,7.82,4.25,3.79,4.11,4.64,4.14,3.89,70-122
184,2019,7.05,4.5,4.27,4.59,4.91,4.45,4.27,70-122
185,2019,4.36,4.54,3.77,4.46,4.62,4.08,3.77,70-160
186,2019,6.5,4.75,4.75,4.25,4.75,4.5,4.75,70-196
187,2019,3.07,4.21,3.77,3.69,4.38,3.77,3.38,70-201
188,2019,6.09,3.64,2.45,2.55,3.55,2.73,1.64,70-205
189,2019,5.43,3.0,2.0,2.43,3.57,2.29,1.86,70-205
190,2019,3.13,3.75,3.0,3.38,4.25,3.25,2.75,70-205
191,2019,4.25,3.63,2.63,2.75,4.0,3.0,2.75,70-205
192,2019,6.65,4.35,3.75,4.15,4.47,4.16,4.0,70-207
193,2019,10.38,3.67,3.38,3.81,4.29,3.43,3.57,70-208
194,2019,7.56,4.76,4.36,4.45,4.79,4.55,4.45,70-257
195,2019,6.38,4.79,4.54,4.63,4.75,4.67,4.5,70-257
196,2019,10.0,4.33,4.0,4.33,4.67,4.33,3.33,70-258
197,2019,6.46,4.85,4.69,4.79,4.87,4.79,4.59,70-311
198,2019,15.18,4.82,4.82,4.73,5.0,4.91,4.64,70-311
199,2019,6.82,4.82,4.46,4.85,4.96,4.81,4.75,70-311
200,2019,6.88,3.63,2.75,3.25,4.25,3.5,3.5,70-311
201,2019,6.5,4.75,4.0,4.0,4.75,4.0,4.25,70-311
202,2019,11.8,5.0,4.6,4.8,5.0,5.0,4.8,70-321
203,2019,6.31,4.75,4.63,4.88,4.81,4.88,4.88,70-321
204,2019,4.57,4.14,4.07,4.29,4.86,4.07,3.79,70-332
205,2019,8.0,5.0,5.0,5.0,4.71,5.0,5.0,70-332
206,2019,4.68,3.97,3.87,3.87,4.79,3.5,3.58,70-332
207,2019,8.0,4.86,4.29,4.71,5.0,4.71,4.71,70-340
208,2019,6.94,4.59,4.12,4.41,4.53,4.41,4.18,70-340
209,2019,7.09,4.96,4.39,4.39,4.96,4.43,4.39,70-340
210,2019,6.06,4.82,4.71,4.94,5.0,4.76,4.47,70-340
211,2019,5.83,4.94,4.78,4.89,4.83,4.78,4.61,70-340
212,2019,8.43,4.71,4.86,4.71,4.29,4.43,4.43,70-345
213,2019,8.38,4.88,5.0,4.75,4.75,4.88,4.88,70-345
214,2019,7.4,4.6,4.7,3.8,4.4,4.1,3.9,70-345
215,2019,6.2,4.6,4.6,4.6,4.6,4.4,4.6,70-345
216,2019,7.8,4.8,4.47,4.67,4.73,4.73,4.53,70-345
217,2019,8.46,4.0,3.75,3.75,3.42,3.5,3.67,70-345
218,2019,5.0,4.22,3.56,3.78,4.33,3.89,3.78,70-349
219,2019,5.0,4.85,4.92,4.69,4.62,4.77,4.77,70-350
220,2019,5.0,4.8,5.0,4.4,5.0,4.8,4.6,70-350
221,2019,6.5,4.5,4.0,5.0,4.75,4.75,4.25,70-364
222,2019,4.25,4.0,3.42,4.17,4.33,3.92,4.08,70-366
223,2019,6.41,4.41,4.21,4.5,4.41,4.26,4.24,70-371
224,2019,6.87,4.66,4.11,4.64,4.51,4.55,4.47,70-371
225,2019,6.6,4.67,4.13,4.33,4.6,4.47,4.27,70-371
226,2019,9.2,4.8,3.8,4.8,4.8,4.2,4.0,70-374
227,2019,6.42,4.22,3.77,3.46,4.51,3.46,3.37,70-374
228,2019,6.5,3.7,3.22,3.5,4.6,3.6,3.6,70-381
229,2019,6.6,4.19,4.1,4.33,4.76,4.12,3.98,70-381
230,2019,11.77,4.69,4.23,4.46,4.62,4.69,4.54,70-381
231,2019,6.6,4.4,4.03,4.38,4.7,4.2,4.23,70-381
232,2019,8.75,4.33,3.67,4.25,4.33,4.0,3.67,70-385
233,2019,10.0,4.14,3.86,3.93,4.14,3.79,3.79,70-391
234,2019,7.74,4.42,4.16,4.55,4.9,4.45,4.42,70-391
235,2019,7.82,4.54,4.29,4.39,4.82,4.39,4.39,70-391
236,2019,7.17,4.72,4.0,4.5,4.94,4.5,4.33,70-391
237,2019,4.33,3.89,3.78,3.78,2.67,3.44,3.44,70-395
238,2019,9.5,5.0,4.5,4.75,4.75,4.5,4.75,70-398
239,2019,7.0,4.33,3.83,4.33,4.33,4.17,4.0,70-398
240,2019,10.87,4.43,4.47,4.47,4.63,4.5,4.3,70-401
241,2019,8.23,3.54,3.25,2.92,4.33,3.17,3.17,70-401
242,2019,8.0,5.0,5.0,4.67,5.0,4.67,4.33,70-411
243,2019,5.3,4.8,4.2,4.4,5.0,4.6,4.5,70-415
244,2019,5.3,4.8,4.2,4.5,5.0,4.6,4.5,70-415
245,2019,5.25,3.75,4.0,3.55,4.09,3.27,3.0,70-415
246,2019,7.67,4.56,4.11,4.56,4.78,4.44,4.33,70-416
247,2019,12.5,5.0,5.0,4.5,4.5,4.5,4.5,70-416
248,2019,6.75,4.64,4.45,4.82,4.91,4.73,4.82,70-417
249,2019,5.0,5.0,4.5,4.67,5.0,4.67,4.67,70-421
250,2019,7.88,4.69,4.31,4.81,4.94,4.56,4.44,70-422
251,2019,10.17,4.67,4.0,4.83,5.0,4.5,4.83,70-424
252,2019,6.15,4.85,4.69,4.23,4.77,4.46,4.31,70-425
253,2019,7.25,4.83,4.58,4.82,4.82,4.73,4.67,70-440
254,2019,5.0,4.21,3.47,4.05,4.63,3.79,3.74,70-443
255,2019,3.5,5.0,5.0,5.0,5.0,5.0,5.0,70-455
256,2019,4.0,5.0,4.33,5.0,5.0,5.0,5.0,70-455
257,2019,3.5,5.0,5.0,5.0,5.0,5.0,5.0,70-455
258,2019,8.47,4.84,4.58,4.95,4.95,4.84,4.79,70-455
259,2019,6.5,4.92,4.75,4.92,4.83,4.83,4.92,70-462
260,2019,6.5,4.75,4.5,4.75,5.0,4.5,4.5,70-471
261,2019,6.5,4.67,4.0,4.67,5.0,4.67,4.67,70-471
262,2019,4.57,4.57,4.43,4.43,4.29,4.57,4.43,70-480
263,2019,9.5,4.7,4.4,4.8,4.9,4.8,4.7,70-481
264,2019,6.8,4.8,4.6,5.0,5.0,5.0,5.0,70-482
265,2019,6.88,4.88,4.88,4.63,5.0,4.88,4.88,70-485
266,2019,7.7,4.8,4.1,4.1,4.8,4.3,4.1,70-492
267,2019,8.0,4.8,4.3,4.2,5.0,4.4,4.3,70-492
268,2019,6.5,4.58,4.42,4.58,4.75,4.67,4.75,70-493
269,2019,6.62,4.85,4.48,4.77,4.92,4.58,4.5,70-493
270,2019,8.0,4.67,4.67,4.67,5.0,4.67,5.0,70-495
271,2019,6.8,4.85,4.3,4.7,5.0,4.85,4.65,70-495
272,2019,7.91,4.86,4.46,4.57,4.77,4.66,4.63,70-495
273,2019,9.5,4.5,4.5,4.5,4.5,4.5,4.5,70-520
274,2019,7.72,4.06,3.45,3.73,4.43,3.83,3.73,42-101
275,2019,2.5,4.92,4.57,4.88,4.92,4.88,4.88,42-201
276,2019,8.0,4.33,3.64,4.09,4.64,4.21,4.0,42-202
277,2019,13.0,5.0,4.67,4.67,5.0,4.67,4.67,42-203
278,2019,9.71,4.71,3.71,4.29,5.0,4.43,4.14,42-203
279,2019,7.14,4.36,4.21,3.79,4.86,3.93,3.86,42-302
280,2019,6.8,3.6,2.8,3.4,4.6,2.6,2.8,42-341
281,2019,9.38,4.69,4.38,4.46,4.81,4.54,4.15,42-402
282,2019,5.0,4.17,3.5,4.17,4.5,4.0,4.0,42-444
283,2019,12.8,4.4,4.2,4.6,4.8,4.6,4.4,42-612
284,2019,8.25,4.58,4.67,4.36,4.45,4.64,4.5,42-613
285,2019,7.0,4.17,4.17,4.5,4.67,4.5,4.33,42-624
286,2019,10.0,4.67,3.83,4.0,4.83,4.0,4.0,42-630
287,2019,11.0,4.89,4.56,4.78,4.89,4.78,4.67,42-632
288,2019,10.0,4.67,3.33,3.56,4.78,3.67,3.44,42-647
289,2019,3.35,4.8,4.45,4.93,4.88,4.68,4.78,42-661
290,2019,7.4,4.8,4.0,4.4,4.8,4.5,4.2,42-678
291,2019,7.18,4.55,4.18,4.3,4.9,4.5,4.1,42-678
292,2019,9.09,4.45,4.36,4.45,4.45,4.45,4.27,42-679
293,2019,9.36,4.45,4.36,4.27,4.64,4.45,4.18,42-679
294,2019,7.73,5.0,4.82,4.91,5.0,4.91,4.9,42-681
295,2019,8.86,4.71,4.35,4.9,4.9,4.71,4.62,42-702
296,2019,7.14,4.86,4.43,4.43,5.0,4.57,4.57,42-744
297,2019,5.0,4.56,4.0,4.13,4.63,4.5,4.86,03-117
298,2019,5.27,4.91,4.73,4.73,4.82,4.73,4.7,03-117
299,2019,5.0,4.5,4.0,4.13,4.5,4.5,4.88,03-117
300,2019,5.27,4.73,4.64,4.64,4.91,4.91,4.73,03-117
301,2019,7.22,4.51,4.25,4.49,4.69,4.42,4.2,03-121
302,2019,5.14,4.0,3.55,3.33,4.19,3.14,3.29,03-121
303,2019,7.17,4.38,4.0,3.74,4.55,3.85,3.82,03-121
304,2019,5.14,4.43,4.1,3.95,4.67,3.81,3.52,03-121
305,2019,9.0,4.0,3.33,4.0,4.33,3.33,3.67,03-124
306,2019,7.14,4.94,4.71,4.69,4.88,4.76,4.8,03-133
307,2019,8.33,4.29,3.71,4.05,4.33,3.86,3.67,03-161
308,2019,2.75,4.0,3.75,4.5,4.5,4.25,4.0,03-202
309,2019,2.0,4.0,2.0,4.0,5.0,3.0,2.0,03-206
310,2019,8.0,5.0,5.0,5.0,5.0,5.0,5.0,03-221
311,2019,15.75,5.0,4.5,4.5,5.0,4.75,4.5,03-230
312,2019,9.2,4.52,4.21,4.41,4.55,4.43,3.71,03-231
313,2019,10.14,2.68,2.21,2.15,3.33,2.04,2.52,03-231
314,2019,9.18,4.57,4.11,4.36,4.82,4.36,4.21,03-232
315,2019,12.43,4.86,4.14,4.86,4.86,4.71,4.43,03-240
316,2019,12.0,3.86,3.57,4.14,4.29,3.71,3.71,03-330
317,2019,16.5,4.83,4.42,4.58,4.5,4.67,4.5,03-344
318,2019,15.8,4.6,4.6,4.75,4.25,4.75,4.5,03-344
319,2019,16.5,4.83,4.25,4.5,5.0,4.58,4.33,03-346
320,2019,6.67,4.67,4.22,4.89,4.44,4.67,4.44,03-350
321,2019,9.0,4.33,4.33,4.33,4.67,4.33,4.33,03-362
322,2019,6.6,4.14,3.28,3.95,4.35,3.74,3.58,03-363
323,2019,8.6,4.2,3.4,4.07,4.13,3.87,3.73,03-366
324,2019,7.25,4.75,4.5,4.88,5.0,4.63,4.88,03-390
325,2019,7.33,5.0,4.56,5.0,5.0,5.0,4.89,03-390
326,2019,7.25,4.88,4.38,4.88,5.0,4.63,4.88,03-390
327,2019,7.25,4.88,4.5,4.88,5.0,4.88,4.88,03-390
328,2019,6.75,4.67,4.17,4.08,4.58,4.42,4.33,03-391
329,2019,5.75,5.0,4.5,5.0,4.75,4.75,4.5,03-409
330,2019,11.0,5.0,3.67,5.0,5.0,5.0,4.67,03-410
331,2019,8.0,4.0,3.0,4.0,3.0,4.0,4.0,03-445
332,2019,7.73,4.86,4.82,4.5,5.0,4.77,4.68,03-713
333,2019,5.6,4.8,4.6,5.0,5.0,4.8,5.0,03-728
334,2019,7.14,5.0,4.86,5.0,5.0,5.0,4.86,03-728
335,2019,5.6,4.6,4.3,4.7,4.3,4.7,4.7,03-730
336,2019,7.25,5.0,5.0,4.88,4.88,5.0,4.88,03-730
337,2019,7.1,5.0,4.8,4.8,5.0,4.9,4.89,03-730
338,2019,7.25,4.75,4.63,4.88,5.0,4.75,4.63,03-730
339,2019,5.82,4.91,4.09,4.82,5.0,4.91,5.0,03-741
340,2019,5.82,4.91,4.45,4.82,4.91,4.91,4.82,03-741
341,2019,5.82,4.91,4.0,5.0,4.91,4.91,4.82,03-741
342,2019,5.82,4.91,3.73,4.64,4.82,4.55,4.64,03-741
343,2019,11.0,4.67,3.33,5.0,5.0,4.33,4.0,03-757
344,2019,7.42,4.61,3.94,4.59,4.53,4.35,4.25,03-763
345,2019,7.4,5.0,4.8,4.6,5.0,4.6,4.8,03-791
346,2019,7.4,4.8,4.25,4.4,4.8,4.6,4.6,03-791
347,2019,3.5,4.17,4.0,4.33,5.0,4.17,4.17,52-291
348,2019,4.1,4.7,4.2,4.2,4.7,4.2,3.9,52-392
349,2019,6.8,4.2,4.0,4.0,4.4,4.4,4.2,52-402
350,2019,12.5,4.5,3.5,3.0,5.0,3.0,2.5,02-201
351,2019,10.25,5.0,4.75,4.0,5.0,4.0,4.0,02-250
352,2019,10.25,4.75,4.75,4.5,5.0,4.5,4.5,02-250
353,2019,8.56,4.15,3.81,4.11,4.59,4.07,3.96,02-250
354,2019,8.67,4.37,3.67,4.19,4.74,4.22,3.96,02-250
355,2019,13.5,4.5,3.8,4.0,4.8,4.3,4.1,02-251
356,2019,13.5,4.8,4.1,4.5,4.9,4.5,4.2,02-251
357,2019,6.71,4.86,4.86,4.71,5.0,4.57,4.71,02-261
358,2019,8.0,3.0,3.0,4.0,4.0,4.0,4.0,02-450
359,2019,11.0,3.67,3.67,4.0,4.67,3.67,3.33,02-510
360,2019,11.0,3.67,3.67,3.67,4.0,3.33,3.33,02-510
361,2019,15.0,4.47,4.26,4.68,4.63,4.53,4.53,02-604
362,2019,9.5,4.0,3.0,3.5,4.5,3.0,3.0,02-613
363,2019,9.36,4.0,3.82,3.73,4.64,3.64,3.73,02-710
364,2019,9.36,4.36,4.27,4.36,4.91,4.18,4.27,02-710
365,2019,10.33,4.67,4.56,4.56,4.78,4.78,5.0,02-715
366,2019,10.17,3.11,3.17,3.39,3.67,3.0,3.0,02-750
367,2019,6.2,4.4,4.4,4.4,4.8,4.4,4.4,02-760
368,2019,5.17,4.06,3.88,4.41,4.73,4.2,3.98,12-100
369,2019,5.29,4.86,4.43,4.81,5.0,4.71,4.38,12-201
370,2019,3.0,5.0,5.0,4.83,5.0,5.0,4.67,12-216
371,2019,7.52,3.77,3.26,4.23,4.29,3.94,3.74,12-231
372,2019,8.41,4.62,4.39,4.17,4.79,4.48,3.62,12-232
373,2019,8.52,3.93,3.72,3.72,3.62,3.52,3.07,12-232
